AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
1,1,1,1,1,0,1,1,4,0,0,1,2,2,0,2,1,1,0,0,52.16666667,5,15.66666667,14.66666667,0,32.5,6.916666667,8.916666667,8.916666667,0,1,1,1,1,0,2.182916667,1,1,1,1,6,3,6,3,9,9,19,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51.66666667,4.083333333,14.54166667,13.54166667,0,33.04166667,6.166666667,7.166666667,7.166666667,0,0,0,0,0,0,2.340416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,59,7,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,39,30,69,48,117,69,491,31,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,58,6,28,13,11,24,14,20,12,8,2,2,2,1,1,0.86,5,5,5,4,39,30,69,48,117,69,491,31,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,5,0,1,4,0,4,4,0,0,4,0,0,0,4,63,6,29,13,12,28,15,21,12,9,2,2,2,1,1,0.97,5,5,5,4,41,31,73,50,123,72,524,32,4657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,7,4,19,0,19,0,2,5,3,9,9,4,1,9,0,6,0,3,246.5416667,19,204.5416667,53.54166667,127,23,82,141,52,89,25,25,29,23,4,0.11,55,55,65,44,135,166,705,410,1115,301,6436,150,179143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,2,12,0,12,0,1,3,3,3,3,0,0,3,0,0,0,3,69.08333333,7,45.08333333,17.08333333,27,17,26.08333333,41.08333333,19.08333333,22,5,5,6,4,2,0.379166667,13,13,15,6,45,44.33333333,154.1666667,103.3333333,257.5,89.33333333,1278.5,51.83333333,25659.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,4,4,0,17,2,2,2,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,0,7,0,3,0,1,15,15,15,3,15,0,1,0,14,183,21,146,65,65,16,75,105,56,49,5,5,5,1,2,0.11,24,24,25,15,156,140,371,279,650,296,3093,141,42587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,5,5,1,29.16666667,0,29.16666667,0,1,1,0,1,1,0,0,1,0,0,0,1,57.25,4,37.25,13.16666667,22.16666667,16,23.08333333,29.08333333,13.08333333,16,5,5,5,1,3,0.4275,5,5,5,1,20,37.25,116.25,87.25,203.5,57.25,1188.166667,22.91666667,27225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,5,0,1,0,0,2,2,2,0,2,0,0,2,0,43,4,23,16,7,16,15,18,14,4,2,2,2,1,0,0.7,3,3,3,2,20,32,53,46,99,52,489,13,4011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,12,0,6,6,2,4,3,14.29166667,14.29166667,10.29166667,2.541666667,14.29166667,1,0,0.25,13.04166667,280.9166667,24.54166667,114.2083333,39.625,54.75,142.1666667,46.5,78.08333333,37.58333333,40.5,7,7,7.5,1,5,1.24375,30.33333333,30.33333333,34.08333333,14.29166667,154.375,111.3333333,314.0416667,193.25,507.2916667,265.7083333,2470.333333,120.625,41904.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,8,0,3,5,1,0,1,3,3,3,0,3,0,0,0,3,50,5,13,6,4,32,5,9,6,3,1,1,1,1,0,2.46,3,3,3,3,16,11,20,15,35,27,111,10,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1.541666667,1.541666667,0,1.541666667,0,0,0,1.541666667,43.33333333,5.541666667,6.541666667,5.541666667,0,31.25,4.541666667,5.541666667,5.541666667,0,0,0,0,0,0,4.772916667,0,0,0,0,9.166666667,9.625,10.16666667,9.625,19.79166667,18.79166667,72.29166667,4.083333333,206.5833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,36,5,6,5,0,25,4,5,5,0,0,0,0,0,0,4.17,0,0,0,0,4,4,4,5,9,8,27,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
