AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,n1,n2,N11,N21,Len.,Voc.,Vol.,Dif.,Eff.,ConMetric,ConLockMetric,AtomicMetric,CollSynMetric,DesThread,StartMetric,SleepMetric,YieldMetric,JoinMetric,WaitMetric,NotifyMetric,NotifyAllMetric,Syn,LockLock,LockUnlock,ConAwait,ConSignal,ConSignalAll,SemAcquire,SemRelease,LatchAwait,LatchCountDown,BarrierAwait,ThrFctNewThr,Execute,AwaitTermi,Shutdown,ShutdownNow,ThrPoolExecFinalize,StartThread,ThrPoolExecReject,NewThrPool,FutureCancel,FutureGet,FutureRun,VectorMetric,HashTableMetric,ThreadLocal,VolatileMetric,FinalMetric,FinallyMetric,
1,1,1,1,11,1,8,2,3,0,4,12,12,12,4,12,0,0,0,12,204,31,122,51,57,51,65,91,50,41,5,5,5,5,2,0.42,21,21,21,19,140,137,315,207,522,277,2646,103,41172,3,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
1,1,1,1,4,0,4,0,1,0,0,4,4,4,1,4,3,0,0,1,50,8,25,14,9,17,12,17,11,6,1,1,1,1,0,0.68,4,4,4,4,29,19,51,29,80,48,305,20,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,10.33333333,1,8,0.666666667,2,1,1.666666667,10,13,12,4,13,7.333333333,3,0,2.666666667,176.6666667,36.33333333,106,42.33333333,58,34.33333333,67,84,41.33333333,42.66666667,5,5,6,1,2,0.32,16,15,17,10,134.6666667,119.3333333,334.3333333,225.6666667,560,254,2759.666667,113,47850.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0
0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,3,61,6,6,5,0,49,4,5,5,0,0,0,0,0,0,8.17,0,0,0,0,17,8,19,8,27,25,81,8,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,29,4,5,4,2,20,3,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,4.25,0,3.75,0.5,1,0,0,4.833333333,4.833333333,4.833333333,4.833333333,4.833333333,1,0,0,3.833333333,70.91666667,11.58333333,30.83333333,14.66666667,11.83333333,28.5,17.16666667,23.75,14.66666667,9.083333333,1.75,1.75,1.75,1,0.75,0.956666667,5.583333333,5.583333333,5.583333333,4.833333333,37,18.91666667,57.25,26.16666667,83.41666667,55.91666667,327.5,23,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,12.66666667,1,8,2.666666667,1,1,5,9.666666667,9.666666667,8.666666667,5.666666667,9.666666667,6,1,0,2.666666667,191.6666667,32.33333333,103,38.33333333,57,56.33333333,62.66666667,85.33333333,41.33333333,44,7,7,7,4,3,0.543333333,20.66666667,20.66666667,21.66666667,12.66666667,108.3333333,118.6666667,313.3333333,218.3333333,531.6666667,227,2794,89.66666667,51897.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
1,1,1,1,4,0,4,0,1,0,0,4,4,4,3,4,1,0,0,3,65,11,29,15,11,25,16,22,14,8,2,2,2,1,1,0.86,5,5,5,4,36,26,58,32,90,62,361,21,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,1,18,0,13,4,1,0,0,3,3,3,4,3,0,0,0,3,104,13,50,14,26,41,26,38,15,23,5,5,5,1,4,0.82,9,9,9,3,41,33,112,64,176,74,842,40,15944,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,4,0,1,1,2,5,5,4,1,5,4,0,0,1,67,14,36,21,14,17,21,27,18,9,1,1,1,1,0,0.47,5,5,5,5,45,35,81,54,135,80,575,31,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,38,3,4,3,0,31,2,3,3,0,0,0,0,0,0,7.75,0,0,0,0,6,7,8,7,15,13,55,3,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,10,2,7,0,1,0,0,4,4,4,4,4,0,0,0,4,87,18,41,15,19,28,21,31,14,17,6,6,6,5,3,0.68,10,10,10,8,57,27,111,53,164,84,759,56,16017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,7.75,0,0,0,0,0,0,0,0,0,74,4.5,10.75,9.75,7.75,58.75,8.75,9.75,9.75,0,0,0,0,0,0,5.4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0
3,2.5,3,1,18.5,0,17.33333333,1,1,1,1,7.75,7.75,6.75,3.75,7.75,0,0,0,7.75,198.8333333,15.25,151.8333333,45.5,110.3333333,31.75,102.5833333,123.8333333,46,77.83333333,13.25,12.25,13.25,1,3,0.21,24,23,24.66666667,7.75,102.25,149.75,531.5,411.1666667,942.6666667,252,5649.666667,109.75,212776.9167,0,0,0,0,0,0,0,0,1,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0
0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,3,3,0,0,0,57,8,14,10,0,35,6,10,10,0,0,0,0,0,0,2.5,0,0,0,0,17,20,25,20,45,37,164,8,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2.666666667,1,14.66666667,0,11.66666667,2,4,0,1,24.33333333,25.33333333,25.33333333,24,25.33333333,1,5,0,19.33333333,524.5833333,60.83333333,357.75,93.83333333,214.0833333,106,177.5833333,258.9166667,95.33333333,163.5833333,18,18,19,10,5,0.295,71.33333333,71.33333333,73.33333333,33.33333333,285.6666667,323.5833333,934.4166667,571.8333333,1506.25,609.25,7994.166667,226.3333333,180425.1667,2,0,0,0,1,1,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,35,4,5,4,0,26,3,4,4,0,0,0,0,0,0,5.2,0,0,0,0,6,8,10,8,18,14,68,3,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,4,0,4,0,2,4,1,21,23,19,8,23,1,0,2,20,140.5,20,105.5,37.5,47.5,15,46,76,37,39,3,3,3,1,1,0.14,28,28,28,21,185,99,269,137,406,284,1647,108,13248,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,32,2,4,3,0,26,2,3,3,0,0,0,0,0,0,6.5,0,0,0,0,6,6,9,6,15,12,53,3,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,16.33333333,0,11,4.666666667,1,0,0,7,7,7,8,7,0,1,0,6,170,10.33333333,103,40,62,57.66666667,63,80,36,44,5,5,6,1,2,0.56,17,17,18,7,106,120,320,195,515,226,2696,82,39638,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,11,0,8,2.666666667,1,0,0,8,8,8,5,8,0,1,0,7,147.3333333,11.33333333,83.33333333,28,43,53.66666667,41,57,23,34,4,4,4,3,2,0.643333333,17,17,17,10,97,87,222,129,351,184,1661,67,16947,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,31,0,18,12,14,1,6,29,29,28,13,29,3,8,0,18,758,39,371,118,225,348,181,259,120,139,7,7,7,5,2,0.94,66,66,66,44,442,787,2096,1519,3615,1229,21767,390,570611,2,0,2,0,0,0,0,0,0,1,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
2,2,2,1,13,1,10,1,3,9,3,19,19,10,4,19,5,1,5,8,343,47,245,88,137,53,118,167,81,86,7,7,8,5,4,0.22,41,41,42,28,229,280,611,428,1039,509,5466,165,85235,2,0,0,0,0,0,3,0,1,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0
2,2,2,1,12.5,0,10.5,1,2,2.5,1,8.5,8.5,6,11.5,8.5,0,4,0,4.5,186,22,130.25,50.25,71.75,33.75,87.5,107,51.75,55.25,6,6,6.5,3,3,0.26,19.25,19.25,19.75,10.5,103,149,342,236,578,252,3054.25,76.5,42970.75,0,0,0,0,0,0,1.5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0
2,2,3,1,10.5,0,8,2,1,2,0,2,2,0,0,2,1,0,0,1,54.5,7,22.5,8,10.5,25,11,16,8,8,3,3,5,1,1,1.115,4,4,6,2,25,22,64,46,110,47,545,25,11154,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,10,3,7,0,1,1,0,1,1,0,0,1,0,0,0,1,38,8,10,4,4,20,4,7,4,3,2,2,2,1,1,2,2,2,2,1,14,5,23,11,34,19,144,15,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,7,0,5,1,1,0,0,6,6,6,2,6,2,0,0,4,98,15,41,14,16,42,21,33,16,17,3,3,3,1,1,1.02,11,11,11,6,57,44,100,70,170,101,706,46,6412,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2,2,1,7,0,7,0,1,0,1,1,2,2,0,2,0,0,0,2,38,7,14,7,5,17,6,9,6,3,2,2,2,1,1,1.21,2,2,2,1,14,8,20,9,29,22,107,7,490,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,1,15,2,11,1,2,1,3,6,6,5,9,6,0,0,1,5,175,27,116,56,55,33,79,98,54,44,5,5,5,4,3,0.28,15,15,15,9,75,106,259,177,436,181,2440,59,38378,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,18.25,0,18,0,4,1,1,8,8,7,8,8,0,2,2,4,218,14.25,180.25,48.5,115.5,23.5,115.75,145.75,46.5,99.25,3,3,3,1,2,0.13,11.5,11.5,11.5,8,94.25,134.75,555,446.25,1001.25,229,5478.75,111.5,210157.75,0,0,0,0,0,0,0,0,0,13.5,0,2,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,1,23,2,12,9,3,0,1,13,13,13,5,13,0,4,0,9,400,47,203,87,118,150,135,167,81,86,4,4,4,1,2,0.74,24,24,24,13,190,296,635,477,1112,486,6160,144,89676,0,0,0,0,0,0,1,0,0,2,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,15,0,15,0,2,1,0,7,7,6,9,7,1,2,0,4,178,12,142,55,83,24,94,117,53,64,4,4,4,1,2,0.17,19,19,19,7,99,157,430,318,748,256,4082,96,72431,2,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,8.5,0,8.25,0,2,1,1,6,6,5,6.5,6,4,0,0,2,118.25,19.25,73,37.5,36.25,26,44.25,56.25,36.5,19.75,4,4,4,1,2,0.355,10,10,10,6,72.5,88.75,205.5,145.25,350.75,161.25,1842.25,53.5,29367.75,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,9,0,9,0,2,0,0,2,2,2,1,2,0,0,0,2,60,8,32,15,15,20,19,24,14,10,2,2,2,1,1,0.63,3,3,3,2,24,32,70,48,118,56,573,17,4979,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4,5,2,25,0,20,4,2,2,2,3,3,1,3,3,1,1,0,1,126,6,79,28,46,41,45,61,29,32,9,9,11,5,2,0.52,13,13,15,7,51,79,240,170,410,130,2440,54,68434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,22,1,4,4,1,17,3,4,3,1,1,1,1,1,0,4.25,1,1,1,1,5,3,6,4,10,8,30,3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,5,0,5,0,2,1,0,7,6,7,5,8,0,0,0,8,75,10,48,15,25,17,22,40,16,24,8,8,8,8,1,0.35,16,16,16,14,49,55,128,81,209,104,949,32,7802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,2,13,0,12,0,1,1,0,7,7,6,1,7,0,4,0,3,131,16,98,25,62,17,49,73,24,49,9,9,11,5,2,0.17,24,24,29,18,104,109,312,198,510,213,2659,88,47213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,1,28,3,24,1,2,1,0,6,6,5,5,6,0,0,0,6,223,31,170,64,124,26,125,147,63,84,16,16,18,1,5,0.15,21,21,25,6,67,144,641,500,1141,211,7289,86,292029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,3,0,3,0,1,0,0,5,5,5,0,5,0,0,0,5,40,5,18,7,7,17,8,14,7,7,1,1,1,1,0,0.94,5,5,5,5,32,28,53,35,88,60,322,18,1353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,11.2,1,9.2,0,5,2,3,26,26,24,16,26,0,3,0,23,383,58,293,103,189.6,34,166.8,227.2,103,124.2,9,9,10,8,5,0.118,61.4,61.4,69.4,38,306.2,328,945.2,607.2,1552.4,634.2,8181.2,260.2,166838.4,0,0,0,0,3,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
1,1,1,1,2,0,2,0,2,0,0,6,5,7,4,7,0,0,0,7,46,8,21,11,5,17,11,16,11,5,1,1,1,1,0,0.81,6,6,6,6,31,26,41,30,71,57,254,16,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,26,2,7,7,0,17,7,6,6,0,0,0,0,0,0,2.43,0,0,0,0,4,2,5,2,7,6,18,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,14,2,11,1,1,1,0,2,2,1,0,2,0,0,0,2,66,12,36,17,17,19,27,31,17,14,2,2,2,1,1,0.53,3,3,3,2,21,40,89,63,152,61,749,16,5871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,5,0,4,0,2,0,1,8,8,8,4,8,0,0,0,8,95,16,54,24,24,25,30,45,23,22,5,5,5,3,2,0.46,14,14,14,10,75,56,146,85,231,131,995,54,9724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,7,7,0,7,0,0,0,7,33,5,11,10,0,17,9,10,10,0,0,0,0,0,0,1.55,0,0,0,0,34,22,39,22,61,56,188,17,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,10,1,70,15,55,0,1,1,3,1,1,0,0,1,0,0,0,1,103,19,67,33,50,17,54,60,32,28,6,6,10,1,2,0.25,6,6,10,1,22,55,212,165,377,77,2362,33,77946,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2,2,2,1,7,0,6,0,2,1,1,18,18,17,11,18,0,0,0,18,219,29,169,74,85,22,104,148,82,66,6,6,6,3,3,0.13,38,38,40,20,206,154,456,297,753,360,3535,186,57770,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
2,2,2,1,10,0,9,1,1,1,2,24,24,23,7,24,0,1,0,23,328.2,46,241.2,68,148.2,45,146.2,196.2,72,124.2,10,10,10,6,5,0.19,52,52,52,34,314,247.2,868.6,524.4,1393,561.2,6907,306.8,162007.6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,1,1,1,3,0,3,0,1,0,0,9,9,9,0,9,0,0,0,9,59,9,33,11,14,17,15,25,11,14,1,1,1,1,0,0.52,9,9,9,9,56,63,128,88,216,119,863,34,4212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
